image_id,qid,answer,ablate_cells,board_rows,board_cols,board
quad_w_queen_000,q1,3,"[[7, 4]]",8,8,b_rook|black_sq|white_sq|black_sq|white_sq|black_sq|b_queen|black_sq/b_pawn|white_sq|b_pawn|b_pawn|black_sq|b_pawn|black_sq|white_sq/w_pawn|black_sq|white_sq|b_king|white_sq|black_sq|white_sq|b_rook/black_sq|b_pawn|b_bishop|white_sq|b_pawn|w_pawn|w_pawn|b_pawn/white_sq|b_knight|white_sq|w_pawn|white_sq|b_knight|white_sq|black_sq/w_knight|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|w_rook/w_pawn|black_sq|w_pawn|black_sq|w_pawn|w_king|w_pawn|black_sq/w_rook|white_sq|black_sq|white_sq|w_queen|w_bishop|w_knight|white_sq
quad_w_queen_001,q1,0,"[[0, 3]]",8,8,white_sq|black_sq|b_bishop|w_queen|white_sq|b_bishop|b_knight|b_rook/b_rook|white_sq|black_sq|b_queen|b_king|b_pawn|b_pawn|b_pawn/b_knight|black_sq|white_sq|black_sq|b_pawn|black_sq|white_sq|black_sq/b_pawn|w_knight|b_pawn|white_sq|b_pawn|white_sq|black_sq|white_sq/white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq/w_pawn|w_pawn|black_sq|white_sq|black_sq|w_pawn|w_pawn|w_pawn/white_sq|w_bishop|w_pawn|w_pawn|w_knight|black_sq|white_sq|black_sq/w_rook|white_sq|black_sq|white_sq|w_king|w_bishop|black_sq|w_rook
quad_w_queen_002,q1,2,"[[5, 2]]",8,8,b_rook|b_knight|b_bishop|b_queen|b_king|black_sq|b_knight|b_rook/black_sq|white_sq|w_bishop|b_pawn|b_pawn|b_pawn|black_sq|white_sq/b_pawn|black_sq|white_sq|black_sq|white_sq|black_sq|b_pawn|black_sq/black_sq|w_knight|black_sq|white_sq|black_sq|white_sq|black_sq|b_pawn/white_sq|black_sq|white_sq|black_sq|w_pawn|black_sq|w_pawn|black_sq/w_pawn|white_sq|w_queen|white_sq|black_sq|white_sq|black_sq|w_pawn/white_sq|black_sq|w_pawn|w_pawn|b_knight|w_pawn|w_bishop|w_rook/black_sq|white_sq|black_sq|white_sq|black_sq|w_king|black_sq|white_sq
quad_w_queen_003,q1,3,"[[7, 7]]",8,8,white_sq|black_sq|white_sq|black_sq|b_king|b_rook|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|black_sq|b_pawn|black_sq|white_sq/white_sq|b_pawn|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq/black_sq|white_sq|b_rook|white_sq|black_sq|white_sq|black_sq|w_pawn/b_pawn|black_sq|b_pawn|black_sq|w_bishop|b_pawn|white_sq|black_sq/w_pawn|b_pawn|black_sq|white_sq|b_bishop|white_sq|black_sq|b_queen/w_knight|black_sq|white_sq|w_pawn|w_king|w_pawn|white_sq|black_sq/black_sq|w_rook|w_bishop|white_sq|black_sq|white_sq|w_rook|w_queen
quad_w_queen_004,q1,1,"[[1, 4]]",8,8,b_knight|b_rook|b_bishop|black_sq|white_sq|black_sq|b_rook|black_sq/b_pawn|b_pawn|black_sq|white_sq|w_queen|b_king|black_sq|b_pawn/white_sq|black_sq|b_queen|black_sq|b_pawn|black_sq|white_sq|black_sq/w_pawn|white_sq|b_pawn|b_pawn|black_sq|white_sq|black_sq|white_sq/white_sq|black_sq|w_pawn|w_pawn|w_pawn|black_sq|b_pawn|w_pawn/black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|b_bishop|w_knight/white_sq|w_pawn|white_sq|w_rook|white_sq|black_sq|white_sq|black_sq/black_sq|white_sq|w_bishop|white_sq|black_sq|w_bishop|w_king|w_knight
quad_w_queen_005,q1,2,"[[5, 3]]",8,8,white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|b_king|black_sq/b_rook|white_sq|black_sq|w_knight|black_sq|white_sq|black_sq|white_sq/white_sq|black_sq|white_sq|black_sq|b_knight|black_sq|b_pawn|b_pawn/b_pawn|b_pawn|black_sq|white_sq|black_sq|b_pawn|w_pawn|w_bishop/w_pawn|black_sq|white_sq|black_sq|white_sq|w_pawn|b_knight|w_pawn/w_pawn|white_sq|black_sq|w_queen|black_sq|white_sq|black_sq|white_sq/white_sq|black_sq|w_pawn|w_knight|white_sq|black_sq|b_bishop|black_sq/w_rook|white_sq|black_sq|white_sq|w_king|white_sq|black_sq|white_sq
quad_w_queen_006,q1,2,"[[5, 0]]",8,8,b_rook|black_sq|white_sq|b_king|b_knight|black_sq|b_rook|black_sq/b_pawn|white_sq|black_sq|white_sq|black_sq|b_pawn|b_bishop|white_sq/white_sq|black_sq|white_sq|black_sq|b_pawn|b_pawn|white_sq|black_sq/black_sq|b_pawn|b_pawn|b_pawn|black_sq|white_sq|black_sq|white_sq/white_sq|black_sq|w_bishop|w_pawn|white_sq|black_sq|white_sq|black_sq/w_queen|w_pawn|w_pawn|w_pawn|black_sq|w_king|b_pawn|w_pawn/w_pawn|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq/w_rook|w_knight|black_sq|w_knight|black_sq|white_sq|black_sq|w_rook
quad_w_queen_007,q1,0,"[[2, 3]]",8,8,b_rook|b_knight|b_bishop|black_sq|b_king|b_bishop|b_knight|b_rook/b_pawn|b_pawn|black_sq|b_pawn|b_pawn|white_sq|b_pawn|b_pawn/white_sq|black_sq|white_sq|w_queen|white_sq|b_pawn|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq/white_sq|black_sq|white_sq|b_pawn|w_pawn|black_sq|white_sq|black_sq/b_queen|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq/w_pawn|w_pawn|w_pawn|w_king|white_sq|w_pawn|w_pawn|w_pawn/w_rook|white_sq|w_bishop|white_sq|black_sq|w_bishop|w_knight|w_rook
quad_w_queen_008,q1,0,"[[1, 3]]",8,8,white_sq|b_knight|white_sq|black_sq|b_knight|b_bishop|white_sq|black_sq/b_rook|b_bishop|black_sq|w_queen|b_king|white_sq|b_pawn|white_sq/white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|b_queen|w_bishop/black_sq|w_pawn|black_sq|white_sq|b_pawn|b_pawn|black_sq|b_pawn/w_pawn|black_sq|b_pawn|b_pawn|w_pawn|black_sq|white_sq|w_pawn/w_rook|white_sq|w_pawn|w_bishop|black_sq|w_pawn|w_pawn|white_sq/white_sq|black_sq|white_sq|black_sq|w_king|black_sq|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|w_knight|w_rook
quad_w_queen_009,q1,2,"[[4, 2]]",8,8,white_sq|black_sq|white_sq|w_bishop|white_sq|black_sq|b_king|black_sq/black_sq|white_sq|b_pawn|white_sq|black_sq|white_sq|black_sq|b_pawn/white_sq|black_sq|white_sq|black_sq|b_pawn|black_sq|white_sq|black_sq/b_pawn|white_sq|black_sq|white_sq|w_pawn|b_pawn|b_bishop|white_sq/white_sq|black_sq|w_queen|b_pawn|white_sq|black_sq|white_sq|w_pawn/b_pawn|w_rook|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq/white_sq|w_pawn|w_pawn|black_sq|w_pawn|w_king|w_pawn|black_sq/black_sq|w_rook|black_sq|white_sq|black_sq|w_bishop|black_sq|white_sq
