start_image_path,end_image_path,text-representation_start-position,text-representation_end-position,start_image_path_v2,end_image_path_v2,q1-ans,q1-mcq-options,q2-ans_red,q2-mcq-options_red,q2-ans_green,q2-mcq-options_green,q3-ans_red-green,q3-ans_green-red,q4-ans,q5-ans_red-left_start-position,q5-ans_red-right_start-position,q5-ans_green-left_start-position,q5-ans_green-right_start-position,q5-ans_red-left_end-position,q5-ans_red-right_end-position,q5-ans_green-left_end-position,q5-ans_green-right_end-position,q6-ans_left-greater_start-position,q6-ans_left-lower_start-position,q6-ans_right-greater_start-position,q6-ans_right-lower_start-position,q6-ans_left-greater_end-position,q6-ans_left-lower_end-position,q6-ans_right-greater_end-position,q6-ans_right-lower_end-position,q7-ans,q8-ans_left_start-position,q8-ans_right_start-position,q8-ans_left_end-position,q8-ans_right_end-position,q9-ans_green_start-position,q9-ans_red_start-position,q9-ans_green_end-position,q9-ans_red_end-position,q10-ans_start-position,q10-ans_end-position,q11-ans_start-position,q11-ans_end-position,q12-ans_green-first_start-position,q12-ans_red-first_start-position,q12-ans_green-last_start-position,q12-ans_red-last_start-position,q12-ans_green-first_end-position,q12-ans_red-first_end-position,q12-ans_green-last_end-position,q12-ans_red-last_end-position,q13-ans_green_start-position,q13-ans_red_start-position,q13-ans_green_end-position,q13-ans_red_end-position
images/1860/checker_move_start.jpg,images/1860/checker_move_end.jpg,2;2;2;2;2;2;2;2;2;0;1;2;1;2;2;2;2;2,2;2;2;2;2;2;2;2;2;2;0;2;1;2;1;2;2;2,images/1860/checker_move_start_v2.jpg,images/1860/checker_move_end_v2.jpg,17,"[13, 18, 17, 12]",15,"[16, 14, 15, 2]",2,"[3, 1, 2, 15]",True,False,red,9,6,0,2,10,5,0,2,True,False,False,True,True,False,False,True,False,9,8,10,7,2,1,2,1,"['red', 'green']","['red', 'red']",9,10,10,0,12,17,12,0,14,17,"[10, 12]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 14, 15, 16, 17]","[12, 14]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 15, 16, 17]"
images/0353/checker_move_start.jpg,images/0353/checker_move_end.jpg,1;1;2;1;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2,0;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2,images/0353/checker_move_start_v2.jpg,images/0353/checker_move_end_v2.jpg,18,"[19, 15, 14, 18]",15,"[15, 14, 16, 3]",3,"[2, 3, 15, 4]",True,False,red,2,13,3,0,0,15,0,3,False,True,True,False,False,True,True,False,False,5,13,0,18,1,1,2,2,"['red', 'red']",['green'],5,0,0,2,3,18,1,2,5,18,"[0, 1, 3]","[2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[1, 3, 5]","[2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
images/1333/checker_move_start.jpg,images/1333/checker_move_end.jpg,1;1;2;1;2;1;2;1;0;1;2;1,1;1;2;1;2;1;2;0;2;1;1;1,images/1333/checker_move_start_v2.jpg,images/1333/checker_move_end_v2.jpg,11,"[14, 15, 11, 6]",4,"[3, 5, 7, 4]",7,"[6, 7, 4, 8]",False,True,green,3,1,5,2,3,1,4,3,True,False,False,True,True,False,False,True,False,8,3,7,4,4,4,2,4,"['green', 'green']","['red', 'red']",8,7,0,2,11,10,0,2,11,8,"[0, 1, 3, 5, 7, 9, 11]","[2, 4, 6, 10]","[0, 1, 3, 5, 9, 10, 11]","[2, 4, 6, 8]"
images/0905/checker_move_start.jpg,images/0905/checker_move_end.jpg,2;2;2;2;2;2;2;1;2;1;2;1;2;0;1;1,2;2;2;2;2;2;2;2;0;1;2;1;2;1;1;1,images/0905/checker_move_start_v2.jpg,images/0905/checker_move_end_v2.jpg,15,"[13, 19, 15, 16]",10,"[5, 10, 9, 11]",5,"[6, 10, 5, 4]",True,False,red,10,0,3,2,8,2,0,5,True,False,False,True,True,False,False,True,False,13,2,8,7,3,3,2,2,"['red', 'green']","['red', 'green']",13,8,7,0,15,12,9,0,15,12,"[7, 9, 11, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 8, 10, 12]","[9, 11, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 12]"
images/1289/checker_move_start.jpg,images/1289/checker_move_end.jpg,2;2;2;2;1;2;0;2;1;2;2;2;2,2;2;2;2;0;2;1;2;1;2;2;2;2,images/1289/checker_move_start_v2.jpg,images/1289/checker_move_end_v2.jpg,12,"[12, 14, 7, 11]",10,"[11, 10, 9, 2]",2,"[2, 3, 1, 10]",True,False,red,5,5,1,1,4,6,0,2,False,False,False,False,False,True,True,False,False,6,6,4,8,2,2,2,1,"['red', 'red']","['red', 'red']",6,4,4,0,8,12,6,0,8,12,"[4, 8]","[0, 1, 2, 3, 5, 7, 9, 10, 11, 12]","[6, 8]","[0, 1, 2, 3, 5, 7, 9, 10, 11, 12]"
images/1273/checker_move_start.jpg,images/1273/checker_move_end.jpg,2;2;2;2;2;1;2;1;2;1;2;1;2;1;2;0;2;2;2,2;2;2;2;2;1;2;1;2;1;2;0;2;1;2;1;2;2;2,images/1273/checker_move_start_v2.jpg,images/1273/checker_move_end_v2.jpg,18,"[17, 18, 14, 19]",13,"[5, 13, 14, 12]",5,"[5, 6, 13, 4]",True,False,red,10,3,5,0,8,5,3,2,True,False,False,True,True,False,False,True,False,15,3,11,7,5,4,5,5,"['red', 'red']","['red', 'red']",15,11,5,0,13,18,5,0,15,18,"[5, 7, 9, 11, 13]","[0, 1, 2, 3, 4, 6, 8, 10, 12, 14, 16, 17, 18]","[5, 7, 9, 13, 15]","[0, 1, 2, 3, 4, 6, 8, 10, 12, 14, 16, 17, 18]"
images/0938/checker_move_start.jpg,images/0938/checker_move_end.jpg,2;1;2;1;2;1;2;1;2;1;2;1;0;1;2;1;2;1;2,2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;0;1;2,images/0938/checker_move_start_v2.jpg,images/0938/checker_move_end_v2.jpg,18,"[18, 13, 14, 20]",9,"[9, 8, 10, 9]",9,"[10, 9, 8, 9]",False,False,green,6,3,6,3,8,1,8,1,True,False,False,True,True,False,False,True,True,12,6,16,2,9,7,9,7,"['green', 'green']","['green', 'green']",12,16,1,0,17,18,1,0,17,18,"[1, 3, 5, 7, 9, 11, 13, 15, 17]","[0, 2, 4, 6, 8, 10, 14, 16, 18]","[1, 3, 5, 7, 9, 11, 13, 15, 17]","[0, 2, 4, 6, 8, 10, 12, 14, 18]"
images/1731/checker_move_start.jpg,images/1731/checker_move_end.jpg,1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;0;2;2,1;1;1;1;1;1;1;1;1;2;0;2;1;2;1;2;1;2,images/1731/checker_move_start_v2.jpg,images/1731/checker_move_end_v2.jpg,17,"[20, 16, 12, 17]",5,"[5, 6, 4, 12]",12,"[13, 5, 11, 12]",False,True,green,3,2,12,0,1,4,9,3,True,False,False,True,True,False,False,True,False,15,2,10,7,3,3,3,4,"['green', 'red']","['red', 'red']",15,10,0,9,14,17,0,9,16,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14]","[9, 11, 13, 16, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 14, 16]","[9, 11, 13, 15, 17]"
images/0065/checker_move_start.jpg,images/0065/checker_move_end.jpg,1;0;2;2;2;2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2;2;2;2;0;1,images/0065/checker_move_start_v2.jpg,images/0065/checker_move_end_v2.jpg,13,"[17, 13, 15, 12]",12,"[11, 12, 1, 13]",1,"[12, 0, 2, 1]",True,False,red,0,12,1,0,12,0,0,1,False,True,True,False,True,False,False,True,False,1,12,12,1,0,0,0,0,"['green', 'red']","['red', 'green']",1,12,0,2,0,13,13,0,13,11,[0],"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",[13],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
images/1323/checker_move_start.jpg,images/1323/checker_move_end.jpg,1;1;2;1;2;0;2;1;2;1;1;1,0;1;2;1;2;1;2;1;2;1;1;1,images/1323/checker_move_start_v2.jpg,images/1323/checker_move_end_v2.jpg,11,"[6, 11, 12, 7]",4,"[3, 4, 7, 5]",7,"[7, 6, 8, 4]",False,True,green,2,2,3,4,0,4,0,7,False,True,True,False,False,True,True,False,False,5,6,0,11,2,4,3,4,"['red', 'red']",['green'],5,0,0,2,11,8,1,2,11,8,"[0, 1, 3, 7, 9, 10, 11]","[2, 4, 6, 8]","[1, 3, 5, 7, 9, 10, 11]","[2, 4, 6, 8]"
