model,dataset,miou
clip,ade20k,5.20
dfn_l14,ade20k,4.30
fgclip2_large,ade20k,23.61
metaclip_l14,ade20k,7.57
openclip_l14,ade20k,2.76
siglip2_l16,ade20k,16.97
tddn,ade20k,18.11
tdn,ade20k,16.51
clip,cityscapes,10.05
dfn_l14,cityscapes,10.24
fgclip2_large,cityscapes,31.39
metaclip_l14,cityscapes,10.62
openclip_l14,cityscapes,3.37
siglip2_l16,cityscapes,19.98
tddn,cityscapes,32.38
tdn,cityscapes,24.29
clip,coco_stuff,7.35
dfn_l14,coco_stuff,4.55
fgclip2_large,coco_stuff,24.17
metaclip_l14,coco_stuff,10.59
openclip_l14,coco_stuff,5.39
siglip2_l16,coco_stuff,17.38
tddn,coco_stuff,24.44
tdn,coco_stuff,20.67
clip,context59,10.44
dfn_l14,context59,8.63
fgclip2_large,context59,35.47
metaclip_l14,context59,13.92
openclip_l14,context59,8.09
siglip2_l16,context59,23.44
tddn,context59,32.48
tdn,context59,27.55
clip,puzzle_perception,11.04
dfn_l14,puzzle_perception,11.16
fgclip2_large,puzzle_perception,23.64
metaclip_l14,puzzle_perception,20.20
openclip_l14,puzzle_perception,9.10
siglip2_l16,puzzle_perception,19.65
tddn,puzzle_perception,20.92
tdn,puzzle_perception,22.51
