start_image_path,end_image_path,text-representation_start-position,text-representation_end-position,q1-ans_start-position,q1-ans_end-position,q2-ans_1x1_start-position,q2-ans_1x1_end-position,q2-ans_1x2_start-position,q2-ans_1x2_end-position,q2-ans_2x1_start-position,q2-ans_2x1_end-position,q2-ans_2x2_start-position,q2-ans_2x2_end-position,q3-ans_start-position,q3-ans_end-position,q4-ans_start-position,q4-ans_end-position,q5-ans_1x1_start-position,q5-ans_1x1_end-position,q5-ans_1x2_start-position,q5-ans_1x2_end-position,q5-ans_2x1_start-position,q5-ans_2x1_end-position,q5-ans_2x2_start-position,q5-ans_2x2_end-position
images/0247/wood_slide_start.jpg,images/0247/wood_slide_end.jpg,"7;6;3;3
7;6;2;2
1;1;5;4
1;1;0;0
8;8;9;9","0;6;3;3
0;6;2;2
7;1;1;5
7;1;1;4
8;8;9;9","[(3, 2), (3, 3)]","[(0, 0), (1, 0)]",2,2,4,4,2,2,1,1,"['2x2', '1x1', '1x1', '1x2']","['2x1', '2x1']",4,2,True,False,True,False,False,True,True,False
images/0670/wood_slide_start.jpg,images/0670/wood_slide_end.jpg,"0;5;4;0
3;3;2;2
6;7;1;1
6;7;1;1
8;8;9;9","5;4;2;2
0;3;3;0
6;7;1;1
6;7;1;1
8;8;9;9","[(0, 0), (0, 3)]","[(1, 0), (1, 3)]",2,2,4,4,2,2,1,1,"['1x2', '1x2', '1x1', '1x1']","['2x2', '1x2', '1x2', '1x1', '2x1']",4,5,True,True,True,True,False,True,False,True
images/0227/wood_slide_start.jpg,images/0227/wood_slide_end.jpg,"6;0;3;3
6;0;2;2
7;1;1;5
7;1;1;4
8;8;9;9","6;0;3;3
6;2;2;5
7;1;1;4
7;1;1;0
8;8;9;9","[(0, 1), (1, 1)]","[(0, 1), (3, 3)]",2,2,4,4,2,2,1,1,"['2x2', '1x2', '1x2', '2x1']","['2x2', '1x2', '1x2', '1x1', '2x1', '1x2']",4,6,False,True,True,True,True,True,True,True
images/0290/wood_slide_start.jpg,images/0290/wood_slide_end.jpg,"5;4;2;2
3;3;0;0
6;7;1;1
6;7;1;1
8;8;9;9","0;5;0;4
3;3;2;2
6;7;1;1
6;7;1;1
8;8;9;9","[(1, 2), (1, 3)]","[(0, 0), (0, 2)]",2,2,4,4,2,2,1,1,"['2x2', '1x2', '1x2']","['1x2', '1x2', '1x1', '1x1']",3,4,False,True,True,True,False,False,True,False
images/0538/wood_slide_start.jpg,images/0538/wood_slide_end.jpg,"2;2;0;0
1;1;3;3
1;1;4;5
6;7;8;8
6;7;9;9","1;1;2;2
1;1;3;3
0;4;5;0
6;7;8;8
6;7;9;9","[(0, 2), (0, 3)]","[(2, 0), (2, 3)]",2,2,4,4,2,2,1,1,"['1x2', '1x2']","['2x2', '1x2', '1x1', '1x1', '2x1', '1x2']",2,6,False,True,True,True,False,True,False,True
images/0796/wood_slide_start.jpg,images/0796/wood_slide_end.jpg,"3;3;0;5
6;2;2;4
6;7;1;1
0;7;1;1
8;8;9;9","6;3;3;5
6;2;2;4
7;1;1;0
7;1;1;0
8;8;9;9","[(0, 2), (3, 0)]","[(2, 3), (3, 3)]",2,2,4,4,2,2,1,1,"['1x2', '1x2', '1x1', '2x1', '2x1', '1x2']","['2x2', '1x1', '1x2']",6,3,True,True,True,True,True,False,False,True
images/0198/wood_slide_start.jpg,images/0198/wood_slide_end.jpg,"2;2;0;0
1;1;3;3
1;1;4;5
6;7;8;8
6;7;9;9","0;2;2;0
1;1;3;3
1;1;4;5
6;7;8;8
6;7;9;9","[(0, 2), (0, 3)]","[(0, 0), (0, 3)]",2,2,4,4,2,2,1,1,"['1x2', '1x2']","['2x2', '1x2', '1x2']",2,3,False,False,True,True,False,False,False,True
images/0596/wood_slide_start.jpg,images/0596/wood_slide_end.jpg,"2;2;3;3
6;1;1;0
6;1;1;0
7;8;8;4
7;9;9;5","2;2;3;3
6;1;1;0
6;1;1;4
7;8;8;5
7;9;9;0","[(1, 3), (2, 3)]","[(1, 3), (4, 3)]",2,2,4,4,2,2,1,1,"['2x2', '1x2', '1x1']","['2x2', '1x2', '1x1', '1x1', '1x2']",3,5,True,True,True,True,False,False,True,True
images/0319/wood_slide_start.jpg,images/0319/wood_slide_end.jpg,"2;2;3;3
1;1;0;4
1;1;0;5
6;7;8;8
6;7;9;9","0;2;2;0
1;1;3;3
1;1;4;5
6;7;8;8
6;7;9;9","[(1, 2), (2, 2)]","[(0, 0), (0, 3)]",2,2,4,4,2,2,1,1,"['2x2', '1x2', '1x1', '1x1', '1x2']","['2x2', '1x2', '1x2']",5,3,True,False,True,True,False,False,True,True
images/0569/wood_slide_start.jpg,images/0569/wood_slide_end.jpg,"5;4;2;2
3;3;0;0
6;7;1;1
6;7;1;1
8;8;9;9","5;4;2;2
0;7;3;3
6;7;1;1
6;0;1;1
8;8;9;9","[(1, 2), (1, 3)]","[(1, 0), (3, 1)]",2,2,4,4,2,2,1,1,"['2x2', '1x2', '1x2']","['2x2', '1x1', '2x1', '2x1', '1x2']",3,5,False,True,True,True,False,True,True,True
images/0066/wood_slide_start.jpg,images/0066/wood_slide_end.jpg,"4;7;2;2
0;7;3;3
5;6;1;1
0;6;1;1
8;8;9;9","4;7;2;2
5;7;3;3
0;6;1;1
0;6;1;1
8;8;9;9","[(1, 0), (3, 0)]","[(2, 0), (3, 0)]",2,2,4,4,2,2,1,1,"['1x1', '1x1', '2x1', '2x1', '1x2']","['1x1', '2x1', '1x2']",5,3,True,True,True,True,True,True,False,False
images/0231/wood_slide_start.jpg,images/0231/wood_slide_end.jpg,"6;3;3;5
6;2;2;4
7;1;1;0
7;1;1;0
8;8;9;9","6;3;3;5
6;2;2;0
7;1;1;4
7;1;1;0
8;8;9;9","[(2, 3), (3, 3)]","[(1, 3), (3, 3)]",2,2,4,4,2,2,1,1,"['2x2', '1x1', '1x2']","['2x2', '1x2', '1x1', '1x1', '1x2']",3,5,True,True,True,True,False,False,True,True
images/0440/wood_slide_start.jpg,images/0440/wood_slide_end.jpg,"4;7;2;2
5;7;3;3
0;6;1;1
0;6;1;1
8;8;9;9","5;4;2;2
0;7;3;3
6;7;1;1
6;0;1;1
8;8;9;9","[(2, 0), (3, 0)]","[(1, 0), (3, 1)]",2,2,4,4,2,2,1,1,"['1x1', '2x1', '1x2']","['2x2', '1x1', '2x1', '2x1', '1x2']",3,5,True,True,True,True,True,True,False,True
images/0806/wood_slide_start.jpg,images/0806/wood_slide_end.jpg,"3;3;5;0
6;2;2;4
6;7;1;1
0;7;1;1
8;8;9;9","6;3;3;5
6;2;2;4
7;0;1;1
7;0;1;1
8;8;9;9","[(0, 3), (3, 0)]","[(2, 1), (3, 1)]",2,2,4,4,2,2,1,1,"['1x1', '1x1', '2x1', '2x1', '1x2']","['2x2', '1x2', '2x1', '1x2']",5,4,True,False,True,True,True,True,False,True
images/0259/wood_slide_start.jpg,images/0259/wood_slide_end.jpg,"6;3;3;0
6;2;2;5
7;1;1;4
7;1;1;0
8;8;9;9","6;0;3;3
6;2;2;0
7;1;1;5
7;1;1;4
8;8;9;9","[(0, 3), (3, 3)]","[(0, 1), (1, 3)]",2,2,4,4,2,2,1,1,"['2x2', '1x2', '1x1', '1x1', '1x2']","['1x2', '1x2', '1x1', '2x1']",5,4,True,True,True,True,False,True,True,False
images/0426/wood_slide_start.jpg,images/0426/wood_slide_end.jpg,"7;0;2;2
7;0;3;3
4;6;1;1
5;6;1;1
8;8;9;9","0;7;2;2
0;7;3;3
4;6;1;1
5;6;1;1
8;8;9;9","[(0, 1), (1, 1)]","[(0, 0), (1, 0)]",2,2,4,4,2,2,1,1,"['1x2', '1x2', '2x1', '2x1']","['1x1', '2x1']",4,2,False,True,True,False,True,True,False,False
images/0314/wood_slide_start.jpg,images/0314/wood_slide_end.jpg,"0;0;2;2
1;1;3;3
1;1;4;5
6;7;8;8
6;7;9;9","2;2;3;3
1;1;0;4
1;1;0;5
6;7;8;8
6;7;9;9","[(0, 0), (0, 1)]","[(1, 2), (2, 2)]",2,2,4,4,2,2,1,1,"['2x2', '1x2']","['2x2', '1x2', '1x1', '1x1', '1x2']",2,5,False,True,True,True,False,False,True,True
images/0109/wood_slide_start.jpg,images/0109/wood_slide_end.jpg,"7;0;2;2
7;6;3;3
4;6;1;1
0;5;1;1
8;8;9;9","7;0;2;2
7;0;3;3
4;6;1;1
5;6;1;1
8;8;9;9","[(0, 1), (3, 0)]","[(0, 1), (1, 1)]",2,2,4,4,2,2,1,1,"['1x2', '1x1', '1x1', '2x1', '2x1', '1x2']","['1x2', '1x2', '2x1', '2x1']",6,4,True,False,True,True,True,True,False,False
images/0383/wood_slide_start.jpg,images/0383/wood_slide_end.jpg,"7;6;3;3
7;6;2;2
1;1;0;5
1;1;0;4
8;8;9;9","0;6;3;3
0;6;2;2
7;1;1;5
7;1;1;4
8;8;9;9","[(2, 2), (3, 2)]","[(0, 0), (1, 0)]",2,2,4,4,2,2,1,1,"['2x2', '1x2', '1x1', '1x1', '1x2']","['2x1', '2x1']",5,2,True,False,True,False,False,True,True,False
images/0531/wood_slide_start.jpg,images/0531/wood_slide_end.jpg,"7;0;2;2
7;0;3;3
4;6;1;1
5;6;1;1
8;8;9;9","7;0;2;2
7;6;3;3
4;6;1;1
0;5;1;1
8;8;9;9","[(0, 1), (1, 1)]","[(0, 1), (3, 0)]",2,2,4,4,2,2,1,1,"['1x2', '1x2', '2x1', '2x1']","['1x2', '1x1', '1x1', '2x1', '2x1', '1x2']",4,6,False,True,True,True,True,True,False,False
