image_id,qid,answer,ablate_cells,board_rows,board_cols,board
0029,q1,1,"[[4, 0]]",8,8,0|0|Q|0|0|0|0|0/0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0/Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0/0|0|0|0|0|Q|0|0
0056,q1,0,"[[3, 0]]",8,8,0|Q|0|0|0|0|0|0/0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0/0|0|0|Q|0|0|0|0
0065,q1,1,"[[6, 0]]",8,8,0|0|0|0|Q|0|0|0/0|Q|0|0|0|0|0|0/0|0|0|Q|0|0|0|0/0|0|0|0|0|Q|0|0/0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0/Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0
0069,q1,0,"[[1, 0]]",8,8,0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0/0|0|0|Q|0|0|0|0/0|Q|0|0|0|0|0|0/0|0|0|0|Q|0|0|0
0070,q1,1,"[[5, 0]]",8,8,0|0|Q|0|0|0|0|0/0|0|0|0|0|Q|0|0/0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0/0|0|0|Q|0|0|0|0/Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0
0099,q1,1,"[[6, 0]]",9,9,0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|Q|0|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0
0111,q1,1,"[[6, 0]]",9,9,0|0|0|0|0|Q|0|0|0/0|0|0|Q|0|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0
0124,q1,0,"[[3, 0]]",9,9,0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|Q|0|0|0|0|0
0128,q1,1,"[[5, 0]]",9,9,0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0/0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|0|Q|0|0|0|0/0|Q|0|0|0|0|0|0|0
0210,q1,0,"[[4, 0]]",9,9,0|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0
